long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-114.04966978665747,48.29514640052124,0500000US30029,Flathead,30,154.5135410050706,15.168566353767067,15.168566353767067,05000US30029,51069,5757,44791,0.11389174645881142,4393,50729,0.0865974097656173
-113.44036224717048,46.4044860270539,0500000US30039,Granite,30,179.4041437927727,41.521976040814955,41.521976040814955,05000US30039,1604,114,1446,0.07307692307692308,71,1583,0.04485154769425142
-111.92027616286128,45.300695726412826,0500000US30057,Madison,30,271.2284207601647,70.306511576359,70.306511576359,05000US30057,4211,337,3821,0.08104858104858105,345,4170,0.08273381294964029
-107.91325243468,48.259186293140864,0500000US30071,Phillips,30,434.6738933200244,165.48057871643505,165.48057871643505,05000US30071,1981,224,1728,0.11475409836065574,187,1955,0.09565217391304348
-112.93610944328329,46.856351002246114,0500000US30077,Powell,30,201.5234810038724,45.2460694874448,45.2460694874448,05000US30077,2542,226,2205,0.09296585767174002,90,2438,0.03691550451189499
-105.01640758083228,48.29450728249028,0500000US30085,Roosevelt,30,532.9355454028091,236.4223518752178,236.4223518752178,05000US30085,5641,1564,3717,0.2961560310547245,1408,5481,0.2568874293012224
-106.73070529760864,46.229701469152104,0500000US30087,Rosebud,30,396.3965322014901,89.03547848040462,89.03547848040462,05000US30087,4527,738,3740,0.16480571683787404,761,4511,0.16869873642207936
-106.66746129998664,48.36526507358205,0500000US30105,Valley,30,492.3001061509907,195.23270164369367,195.23270164369367,05000US30105,3671,598,3014,0.16555924695459578,283,3618,0.07822001105583196
-101.13532015389552,41.916065673087935,0500000US31091,Hooker,31,214.05130780561055,214.05130780561055,214.05130780561055,05000US31091,367,46,283,0.1398176291793313,24,350,0.06857142857142857
-117.85516055927758,48.399099823949406,0500000US53065,Stevens,53,54.14943365961808,54.14943365961808,54.14943365961808,05000US53065,22710,2960,19494,0.13182506457646745,1433,22605,0.06339305463393055
-83.68309732676907,37.41919963986918,0500000US21189,Owsley,21,140.2838195562765,61.24309836466189,140.2838195562765,05000US21189,2494,714,1713,0.2941903584672435,103,2447,0.042092357989374746
-82.39582318874203,37.4690703998874,0500000US21195,Pike,21,129.06311870389254,61.21265907892967,129.06311870389254,05000US21195,30009,7833,21549,0.2665917908923831,1402,29614,0.047342473154589046
-85.3279264732444,37.36646569651037,0500000US21217,Taylor,21,196.75746461093544,62.582213835385275,140.18766935045662,05000US21217,13157,2665,9943,0.21137373096446702,401,13038,0.030756250958736003
-83.49316615716884,37.73931922586438,0500000US21237,Wolfe,21,156.42576218264415,59.11671413825169,156.42576218264415,05000US21237,3559,1376,2113,0.3943823445113213,58,3489,0.01662367440527372
-84.74360193663728,38.0423865080996,0500000US21239,Woodford,21,207.60470348713264,12.424882685398153,123.97196485085225,05000US21239,13945,1431,12274,0.10441444728201386,625,13923,0.04488975077210371
